日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-03-31,688606,145.0,136.06,229.98,135.83,187387,2893747308.0,70.43,1.79,2.39,149.95
2021-04-30,688606,136.82,159.85,191.88,133.67,358708,5664551214.0,42.78,17.48,23.79,287.03
2021-05-31,688606,162.51,156.6,163.6,139.01,153362,2287540327.0,15.38,-2.03,-3.25,122.72
2021-06-30,688606,156.69,151.0,158.55,141.16,137380,2047100270.0,11.1,-3.58,-5.6,109.93
2021-07-30,688606,150.38,141.2,157.87,129.88,116059,1648232505.0,18.54,-6.49,-9.8,92.87
2021-08-31,688606,145.0,125.6,149.5,124.8,102314,1394247788.0,17.49,-11.05,-15.6,81.87
2021-09-30,688606,125.27,105.6,127.59,105.0,51226,600771667.0,17.99,-15.92,-20.0,39.25
2021-10-29,688606,106.0,103.01,107.89,100.55,31787,325780616.0,6.95,-2.45,-2.59,24.36
2021-11-30,688606,104.34,121.4,125.99,104.15,72636,815233365.0,21.2,17.85,18.39,55.65
2021-12-31,688606,120.69,125.01,140.68,110.3,130510,1615439023.0,25.02,2.97,3.61,100.0
2022-01-28,688606,125.01,128.86,237.91,119.55,454801,7737002408.0,94.68,3.08,3.85,348.48
2022-02-28,688606,128.6,154.5,157.77,118.01,236352,3047545626.0,30.86,19.9,25.64,181.1
2022-03-31,688606,154.05,168.1,203.19,138.36,489389,7826293646.0,41.96,8.8,13.6,215.15
2022-04-29,688606,166.38,137.48,181.6,125.17,323824,5039814933.0,33.57,-18.22,-30.62,142.36
2022-05-31,688606,138.27,131.81,152.88,128.9,189108,2602951265.0,17.44,-4.12,-5.67,83.14
2022-06-30,688606,131.88,127.62,140.81,126.07,158636,2036030143.0,11.18,-3.18,-4.19,69.74
2022-07-29,688606,127.5,129.77,134.47,122.3,136001,1668974440.0,9.54,1.68,2.15,59.79
2022-08-31,688606,129.91,120.41,131.45,118.03,114481,1361842462.0,10.34,-7.21,-9.36,50.33
2022-09-30,688606,120.49,112.13,122.97,107.01,61619,684301840.0,13.25,-6.88,-8.28,24.46
2022-10-31,688606,112.58,113.63,122.49,109.03,54661,608994118.0,12.0,1.34,1.5,21.69
2022-11-30,688606,113.78,129.29,134.88,112.8,180743,2151519646.0,19.43,13.78,15.66,71.73
2022-12-30,688606,129.52,110.4,148.71,109.68,284190,3534881363.0,30.19,-14.61,-18.89,112.79
2023-01-31,688606,110.45,112.32,113.77,109.0,48611,511813709.0,4.32,1.74,1.92,19.29
2023-02-28,688606,111.9,111.96,117.79,111.19,54856,596695789.0,5.88,-0.32,-0.36,21.77
2023-03-31,688606,111.96,111.33,112.38,108.8,35438,370707772.0,3.2,-0.56,-0.63,13.82
