日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-31,688479,30.01,27.92,30.01,26.51,772000,2237968371.0,10.61,-15.39,-5.08,237.22
2023-06-30,688479,28.02,30.48,34.67,27.52,695413,2224010205.0,25.61,9.17,2.56,207.62
2023-07-31,688479,30.46,28.61,31.98,27.43,287450,890634995.0,14.93,-6.14,-1.87,85.82
2023-08-31,688479,28.59,29.22,29.52,25.91,341765,992050998.0,12.62,2.13,0.61,102.03
2023-09-28,688479,29.03,26.49,29.31,26.12,173992,492937293.0,10.92,-9.34,-2.73,51.95
2023-10-31,688479,26.56,23.56,26.76,22.65,124683,319312290.0,15.52,-11.06,-2.93,37.22
2023-11-30,688479,23.51,23.88,25.45,23.21,200674,511345114.0,9.51,1.36,0.32,56.39
2023-12-29,688479,23.98,22.33,24.48,20.96,134206,321160243.0,14.74,-6.49,-1.55,37.71
2024-01-31,688479,22.4,16.02,22.56,15.82,157455,321727400.0,30.18,-28.26,-6.31,45.02
2024-02-29,688479,15.94,17.17,18.51,12.51,276546,457891518.0,37.45,7.18,1.15,79.07
2024-03-29,688479,17.02,17.43,18.99,16.47,169591,314975898.0,14.68,1.51,0.26,48.49
2024-04-30,688479,17.31,17.3,18.46,14.59,153195,268637274.0,22.2,-0.75,-0.13,43.8
2024-05-31,688479,17.33,15.93,17.56,15.35,134444,232476673.0,12.77,-7.92,-1.37,22.95
2024-06-28,688479,15.9,15.4,16.61,14.13,205851,327714240.0,15.57,-3.33,-0.53,35.14
2024-07-31,688479,15.41,15.2,15.59,14.06,110667,170031542.0,9.94,-1.3,-0.2,19.0
2024-08-30,688479,15.29,14.36,15.29,13.42,93175,139441504.0,12.3,-5.53,-0.84,16.0
2024-09-30,688479,14.3,17.66,18.06,13.41,95015,148071645.0,32.38,22.98,3.3,16.32
2024-10-31,688479,20.49,18.3,21.09,16.55,235351,447898760.0,25.71,3.62,0.64,40.41
2024-11-29,688479,18.38,19.29,20.0,17.47,201872,391373314.0,13.83,5.41,0.99,33.16
2024-12-31,688479,19.36,17.26,20.11,17.13,160663,309992893.0,15.45,-10.52,-2.03,26.39
2025-01-27,688479,17.26,16.66,17.36,14.78,148024,243702679.0,14.95,-3.48,-0.6,24.32
2025-02-28,688479,16.81,18.21,20.66,16.81,386132,754665287.0,23.11,9.3,1.55,63.43
2025-03-31,688479,18.38,17.96,20.04,17.69,258995,506289410.0,12.9,-1.37,-0.25,42.55
2025-04-30,688479,18.1,17.64,19.09,15.97,176817,325303424.0,17.37,-1.78,-0.32,29.05
2025-05-30,688479,17.76,18.25,18.75,17.51,128351,237497617.0,7.03,3.46,0.61,20.6
2025-06-30,688479,18.2,18.9,18.96,17.55,130995,242699214.0,7.73,3.56,0.65,21.02
2025-07-31,688479,18.91,19.57,20.03,18.66,246747,480895379.0,7.25,3.54,0.67,39.6
2025-08-29,688479,19.65,19.92,21.84,19.43,454882,941123249.0,12.31,1.79,0.35,72.99
2025-09-30,688479,19.89,19.12,20.06,18.06,229953,442468852.0,10.04,-4.02,-0.8,36.9
2025-10-31,688479,19.2,19.51,19.65,18.6,168344,324962763.0,5.49,2.04,0.39,27.01
2025-11-28,688479,19.57,19.68,20.18,18.51,199984,392837612.0,8.56,0.87,0.17,32.09
2025-12-31,688479,19.6,18.83,19.79,17.77,156453,293061078.0,10.26,-4.32,-0.85,25.11
2026-01-30,688479,18.83,22.21,27.75,18.83,838350,1939670130.0,47.37,17.95,3.38,134.53
