日期,代码,名称,开盘,收盘,最高,最低,成交量,成交额,上涨家数,下跌家数
2009-01-23,399672,深红利50,1018.25,1151.85,1162.77,1014.04,951988.0,82915139584.0,0,0
2009-02-27,399672,深红利50,1163.55,1256.45,1502.26,1151.08,2463363.0,231201685504.0,0,0
2009-03-31,399672,深红利50,1234.41,1515.49,1538.81,1231.56,1971192.0,198664224768.0,0,0
2009-04-30,399672,深红利50,1534.71,1592.6,1695.7,1492.9,2222106.0,244493385728.0,0,0
2009-05-27,399672,深红利50,1611.51,1734.03,1800.47,1610.46,1757225.0,209336631296.0,0,0
2009-06-30,399672,深红利50,1761.35,1889.31,1913.93,1747.13,2017943.0,244150779904.0,0,0
2009-07-31,399672,深红利50,1876.45,2378.33,2381.26,1876.45,2555898.0,349558538240.0,0,0
2009-08-31,399672,深红利50,2394.14,1806.29,2507.66,1805.4,1951593.0,283242921984.0,0,0
2009-09-30,399672,深红利50,1783.58,1866.57,2132.48,1749.18,1645000.0,216156028928.0,0,0
2009-10-30,399672,深红利50,1924.28,2081.62,2176.45,1911.3,1171900.0,166134677504.0,0,0
2009-11-30,399672,深红利50,2021.06,2337.76,2453.48,2021.06,2097962.0,286864211968.0,0,0
2009-12-31,399672,深红利50,2330.3,2380.0,2474.49,2181.48,1565560.0,221439787008.0,0,0
2010-01-29,399672,深红利50,2396.52,2185.96,2451.73,2134.13,1279982.0,194741223424.0,0,0
2010-02-26,399672,深红利50,2176.52,2272.44,2286.76,2092.29,588334.0,84256145408.0,0,0
2010-03-31,399672,深红利50,2286.39,2316.0,2342.12,2184.08,1187464.0,162417000448.0,0,0
2010-04-30,399672,深红利50,2323.85,2148.87,2401.59,2107.68,1300423.0,193198145536.0,0,0
2010-05-31,399672,深红利50,2101.07,1944.33,2167.31,1802.11,965221.0,125655465984.0,0,0
2010-06-30,399672,深红利50,1929.97,1743.72,1981.54,1735.33,813154.0,90999365632.0,0,0
2010-07-30,399672,深红利50,1744.46,2023.41,2029.56,1661.63,1222664.0,133966544896.0,0,0
2010-08-31,399672,深红利50,2024.72,2220.36,2228.25,1989.15,1654201.0,201372925952.0,0,0
2010-09-30,399672,深红利50,2225.0,2271.82,2335.33,2177.24,1250927.0,173085835264.0,0,0
2010-10-29,399672,深红利50,2302.77,2577.16,2620.57,2295.77,2071573.0,345810862080.0,0,0
2010-11-30,399672,深红利50,2592.84,2482.15,2763.09,2369.09,2184016.0,389348327424.0,0,0
2010-12-31,399672,深红利50,2479.48,2483.4,2614.37,2372.47,1291899.0,249154387968.0,0,0
2011-01-31,399672,深红利50,2505.99,2404.93,2540.41,2254.78,1032175.0,191595495424.0,0,0
2011-02-28,399672,深红利50,2409.4,2589.55,2601.05,2367.28,991737.0,188714483712.0,0,0
2011-03-31,399672,深红利50,2589.38,2556.88,2650.57,2533.2,1655871.0,301077757952.0,0,0
2011-04-29,399672,深红利50,2563.34,2476.03,2641.38,2429.54,1345572.0,228520361984.0,0,0
2011-05-31,399672,深红利50,2468.69,2299.71,2498.83,2250.38,896874.0,153628196864.0,0,0
2011-06-30,399672,深红利50,2291.4,2339.52,2343.63,2203.12,870204.0,148510015488.0,0,0
2011-07-29,399672,深红利50,2348.8,2343.42,2446.12,2321.6,1116079.0,185132957696.0,0,0
2011-08-31,399672,深红利50,2345.96,2216.3,2365.2,2103.78,905742.0,144969236480.0,0,0
2011-09-30,399672,深红利50,2222.06,1990.15,2228.06,1976.71,533678.0,82081562624.0,0,0
2011-10-31,399672,深红利50,1998.66,2013.76,2049.72,1854.43,574552.0,79566594048.0,0,0
2011-11-30,399672,深红利50,1994.76,1879.16,2079.41,1858.89,856610.0,109667926016.0,0,0
2011-12-30,399672,深红利50,1930.2,1686.76,1946.68,1616.4,637287.0,76348235776.0,0,0
2012-01-31,399672,深红利50,1698.23,1720.03,1757.57,1584.99,600955.0,69847826432.0,0,0
2012-02-29,399672,深红利50,1712.06,1876.05,1937.04,1696.15,966257.0,115917471744.0,0,0
2012-03-30,399672,深红利50,1873.03,1718.74,1956.44,1704.2,981176.0,121478930432.0,0,0
2012-04-27,399672,深红利50,1719.38,1831.92,1858.28,1709.94,797759.0,87971700736.0,0,0
2012-05-31,399672,深红利50,1856.8,1865.75,1900.54,1785.36,953661.0,123986132992.0,0,0
2012-06-29,399672,深红利50,1874.92,1719.53,1878.97,1686.21,662586.0,81933246464.0,0,0
2012-07-31,399672,深红利50,1726.53,1572.78,1738.34,1571.99,646654.0,76192997376.0,0,0
2012-08-31,399672,深红利50,1574.45,1516.58,1661.15,1501.42,605581.0,67560607744.0,0,0
2012-09-28,399672,深红利50,1509.55,1505.11,1590.36,1444.51,571775.0,61116862464.0,0,0
2012-10-31,399672,深红利50,1504.38,1488.99,1548.92,1474.39,494335.0,49083162624.0,0,0
2012-11-30,399672,深红利50,1488.88,1355.51,1523.99,1339.51,450421.0,42686320640.0,0,0
2012-12-31,399672,深红利50,1353.68,1550.75,1551.12,1317.03,945530.0,88858288128.0,0,0
2013-01-31,399672,深红利50,1563.59,1658.76,1663.89,1532.01,1118453.0,116965883904.0,0,0
2013-02-28,399672,深红利50,1650.21,1655.08,1718.61,1608.35,743332.0,84575420416.0,0,0
2013-03-29,399672,深红利50,1654.12,1564.23,1662.61,1542.16,825739.0,93845725184.0,0,0
2013-04-26,399672,深红利50,1569.89,1556.75,1617.61,1531.93,630147.0,73083371520.0,0,0
2013-05-31,399672,深红利50,1547.59,1722.88,1746.8,1547.59,1150071.0,121916203008.0,0,0
2013-06-28,399672,深红利50,1725.42,1431.27,1740.75,1339.28,764981.0,75683323904.0,0,0
2013-07-31,399672,深红利50,1420.83,1462.92,1543.09,1411.11,978419.0,91425808384.0,0,0
2013-08-30,399672,深红利50,1472.34,1565.53,1588.32,1468.69,1121644.0,102548045824.0,0,0
2013-09-30,399672,深红利50,1570.43,1637.68,1660.48,1551.47,1125998.0,104094081024.0,0,0
2013-10-31,399672,深红利50,1634.48,1601.83,1708.3,1548.89,1021339.0,101608652800.0,0,0
2013-11-29,399672,深红利50,1596.64,1683.15,1695.89,1535.48,905643.0,86918373376.0,0,0
2013-12-31,399672,深红利50,1651.05,1672.02,1735.33,1617.44,927656.0,95830360064.0,0,0
2014-01-30,399672,深红利50,1668.42,1653.25,1678.6,1562.91,867182.0,94189641728.0,0,0
2014-02-28,399672,深红利50,1643.45,1733.85,1816.57,1642.73,1085478.0,124692357120.0,0,0
2014-03-31,399672,深红利50,1730.96,1683.52,1767.02,1644.13,1259135.0,131289579520.0,0,0
2014-04-30,399672,深红利50,1681.13,1651.85,1794.58,1611.37,1188272.0,125231079424.0,0,0
2014-05-30,399672,深红利50,1645.87,1660.08,1686.19,1602.62,1030434.0,89833988096.0,0,0
2014-06-30,399672,深红利50,1660.93,1711.98,1714.85,1620.82,860664.0,80434151424.0,0,0
2014-07-31,399672,深红利50,1712.35,1876.49,1876.49,1704.36,1869409.0,176080732160.0,0,0
2014-08-29,399672,深红利50,1868.51,1913.95,1963.47,1853.69,1933513.0,184327405568.0,0,0
2014-09-30,399672,深红利50,1915.71,2058.14,2063.13,1915.71,2317560.0,218302382080.0,0,0
2014-10-31,399672,深红利50,2062.11,2111.64,2118.21,1968.54,2186085.0,210211340288.0,0,0
2014-11-28,399672,深红利50,2114.73,2229.56,2239.78,2074.03,3046741.0,305685495808.0,0,0
2014-12-31,399672,深红利50,2230.21,2469.59,2562.66,2221.07,5901658.0,746079715328.0,0,0
2015-01-30,399672,深红利50,2481.93,2494.38,2571.16,2327.82,3662429.0,513913126912.0,0,0
2015-02-27,399672,深红利50,2460.47,2597.87,2607.91,2427.5,1852919.0,260391108608.0,0,0
2015-03-31,399672,深红利50,2614.61,3065.7,3107.94,2594.35,4838900.0,689432494080.0,0,0
2015-04-30,399672,深红利50,3077.08,3551.9,3594.79,3069.62,6730570.0,1069872447488.0,0,0
2015-05-29,399672,深红利50,3565.99,3960.32,4208.46,3333.9,5722752.0,949933965312.0,0,0
2015-06-30,399672,深红利50,4006.39,3985.33,4793.78,3604.37,6526815.0,1244329803776.0,0,0
2015-07-31,399672,深红利50,3941.44,3352.38,4054.66,2869.17,6735476.0,986202112000.0,0,0
2015-08-31,399672,深红利50,3317.66,2939.1,3960.2,2691.1,4376588.0,593410588672.0,0,0
2015-09-30,399672,深红利50,2892.48,2679.91,2928.23,2447.86,2897466.0,335985180672.0,0,0
2015-10-30,399672,深红利50,2772.67,3090.55,3170.79,2752.56,3092382.0,397665337344.0,0,0
