股票代码,date,prediction,TS代码,股票名称,地域,所属行业,股票全称,英文全称,拼音缩写,市场类型,交易所代码,上市日期,实控人名称,实控人企业性质
603609,202512,1.4991212037423,603609.SH,禾丰股份,辽宁,饲料,禾丰食品股份有限公司,"Wellhope Foods Co., Ltd.",HFGF,主板,SSE,20140808,金卫东,民营企业
603838,202512,1.4918920644163889,603838.SH,*ST四通,广东,家居用品,广东四通集团股份有限公司,"Guang Dong Sitong Group Co., Ltd.",*STST,主板,SSE,20150701,黄建平,民营企业
601229,202512,1.4844171273552278,601229.SH,上海银行,上海,银行,上海银行股份有限公司,"Bank of Shanghai Co., Ltd.",SHYH,主板,SSE,20161116,无实际控制人,其他
000761,202512,1.4844171273552278,000761.SZ,本钢板材,辽宁,普钢,本钢板材股份有限公司,"Bengang Steel Plates Co.,Ltd.",BGBC,主板,SZSE,19980115,国务院国有资产监督管理委员会,中央企业
000553,202512,1.4697130509681555,000553.SZ,安道麦A,湖北,农药化肥,安道麦股份有限公司,ADAMA Ltd.,ADMA,主板,SZSE,19931203,国务院国有资产监督管理委员会,中央企业
603277,202512,1.4697130509681555,603277.SH,银都股份,浙江,专用机械,银都餐饮设备股份有限公司,"Yindu Kitchen Equipment Co., Ltd.",YDGF,主板,SSE,20170911,周俊杰,民营企业
601766,202512,1.4697130509681555,601766.SH,中国中车,北京,运输设备,中国中车股份有限公司,CRRC Corporation Limited,ZGZC,主板,SSE,20080818,国务院国有资产监督管理委员会,中央企业
603288,202512,1.4697130509681555,603288.SH,海天味业,广东,食品,佛山市海天调味食品股份有限公司,Foshan Haitian Flavouring and Food Company Ltd.,HTWY,主板,SSE,20140211,庞康,民营企业
600655,202512,1.4697130509681555,600655.SH,豫园股份,上海,百货,上海豫园旅游商城(集团)股份有限公司,"Shanghai Yuyuan Tourist Mart (Group) Co.,Ltd",YYGF,主板,SSE,19920902,郭广昌,民营企业
603559,202512,1.4697130509681555,603559.SH,ST通脉,吉林,通信设备,中通国脉通信股份有限公司,"ZhongTongGuoMai Communication Co.,Ltd.",STTM,主板,SSE,20161202,梁钧,民营企业
601921,202512,1.4697130509681555,601921.SH,浙版传媒,浙江,出版业,浙江出版传媒股份有限公司,"Zhejiang Publishing & Media Co., Ltd.",ZBCM,主板,SSE,20210723,浙江省人民政府,地方国有企业
600648,202512,1.4697130509681555,600648.SH,外高桥,上海,园区开发,上海外高桥集团股份有限公司,"Shanghai Waigaoqiao Free Trade Zone Group Co., Ltd.",WGQ,主板,SSE,19930504,上海市浦东新区国有资产监督管理委员会,地方国有企业
