股票代码,date,prediction,TS代码,股票名称,地域,所属行业,股票全称,英文全称,拼音缩写,市场类型,交易所代码,上市日期,实控人名称,实控人企业性质
600939,202602,3.23787245784494,600939.SH,重庆建工,重庆,建筑工程,重庆建工集团股份有限公司,"Chongqing Construction Engineering Group Co.,Ltd.",CQJG,主板,SSE,20170221,重庆市国有资产监督管理委员会,地方国有企业
603609,202602,3.2377784593426133,603609.SH,禾丰股份,辽宁,饲料,禾丰食品股份有限公司,"Wellhope Foods Co., Ltd.",HFGF,主板,SSE,20140808,金卫东,民营企业
603838,202602,3.2377784593426133,603838.SH,*ST四通,广东,家居用品,广东四通集团股份有限公司,"Guang Dong Sitong Group Co., Ltd.",*STST,主板,SSE,20150701,黄建平,民营企业
002289,202602,3.2129070705949268,002289.SZ,*ST宇顺,深圳,元器件,深圳市宇顺电子股份有限公司,"Shenzhen Success Electronics Co., Ltd",*STYS,主板,SZSE,20090903,张建云,民营企业
601229,202602,3.209994099922364,601229.SH,上海银行,上海,银行,上海银行股份有限公司,"Bank of Shanghai Co., Ltd.",SHYH,主板,SSE,20161116,无实际控制人,其他
601238,202602,3.209994099922364,601238.SH,广汽集团,广东,汽车整车,广州汽车集团股份有限公司,"Guangzhou Automobile Group Co., Ltd.",GQJT,主板,SSE,20120329,广州市人民政府国有资产监督管理委员会,地方国有企业
000761,202602,3.209994099922364,000761.SZ,本钢板材,辽宁,普钢,本钢板材股份有限公司,"Bengang Steel Plates Co.,Ltd.",BGBC,主板,SZSE,19980115,国务院国有资产监督管理委员会,中央企业
603877,202602,3.207242278900452,603877.SH,太平鸟,浙江,服饰,宁波太平鸟时尚服饰股份有限公司,"Ningbo Peacebird Fashion Co., Ltd.",TPN,主板,SSE,20170109,张江平,民营企业
600136,202602,3.2056609369864004,600136.SH,ST明诚,湖北,房产服务,武汉明诚文化体育集团股份有限公司,"Wuhan Mc Culture & Sports Co.,Ltd.",STMC,主板,SSE,19980303,湖北省人民政府国有资产监督管理委员会,地方国有企业
600606,202602,3.203486301312218,600606.SH,绿地控股,上海,全国地产,绿地控股集团股份有限公司,Greenland Holdings Corporation Limited,LDKG,主板,SSE,19920327,无实际控制人,其他
000903,202602,3.201362708373958,000903.SZ,ST云动,云南,汽车配件,昆明云内动力股份有限公司,"Kunming Yunnei Power Co.,Ltd.",STYD,主板,SZSE,19990415,云南省昆明市人民政府国有资产监督管理委员会,地方国有企业
600055,202602,3.2005841351078934,600055.SH,万东医疗,北京,医疗保健,北京万东医疗科技股份有限公司,"Beijing Wandong Medical Technology Co., Ltd.",WDYL,主板,SSE,19970519,何享健,民营企业
603839,202602,3.194785106643407,603839.SH,安正时尚,浙江,服饰,安正时尚集团股份有限公司,"Anzheng Fashion Group Co.,Ltd",AZSS,主板,SSE,20170214,郑安政,民营企业
002528,202602,3.192371496755286,002528.SZ,ST英飞拓,深圳,IT设备,深圳英飞拓科技股份有限公司,Shenzhen Infinova Limited,STYFT,主板,SZSE,20101224,深圳市投资控股有限公司,地方国有企业
000731,202602,3.190811698251073,000731.SZ,四川美丰,四川,农药化肥,四川美丰化工股份有限公司,"Sichuan Meifeng Chemical Industry Co.,Ltd.",SCMF,主板,SZSE,19970617,国务院国有资产监督管理委员会,中央企业
002214,202602,3.189740456063065,002214.SZ,*ST大立,浙江,电器仪表,浙江大立科技股份有限公司,"Zhejiang Dali Technology Co.,Ltd.",*STDL,主板,SZSE,20080218,庞惠民,民营企业
603722,202602,3.1889834262068386,603722.SH,阿科力,江苏,化工原料,无锡阿科力科技股份有限公司,"Wuxi Acryl Technology Co.,Ltd.",AKL,主板,SSE,20171025,朱学军,民营企业
600827,202602,3.188532325132964,600827.SH,百联股份,上海,超市连锁,上海百联集团股份有限公司,"Shanghai Bailian Group Co., Ltd.",BLGF,主板,SSE,19940204,上海市国有资产监督管理委员会,地方国有企业
002951,202602,3.186438231520788,002951.SZ,金时科技,四川,广告包装,四川金时科技股份有限公司,"Sichuan Jinshi Technology Co.,Ltd",JSKJ,主板,SZSE,20190315,李文秀,民营企业
002302,202602,3.185444879422705,002302.SZ,西部建设,新疆,水泥,中建西部建设股份有限公司,"China West Construction Group Co.,Ltd.",XBJS,主板,SZSE,20091103,国务院国有资产监督管理委员会,中央企业
603955,202602,3.1854153800966207,603955.SH,大千生态,江苏,建筑工程,大千生态环境集团股份有限公司,"Daqian Ecology & Environment Group Co., Ltd.",DQST,主板,SSE,20170310,张源,民营企业
600265,202602,3.182209740502115,600265.SH,ST景谷,云南,林业,云南景谷林业股份有限公司,"Yunnan Jinggu Forestry Co.,ltd",STJG,主板,SSE,20000825,郑家纯,外资
603277,202602,3.182209740502115,603277.SH,银都股份,浙江,专用机械,银都餐饮设备股份有限公司,"Yindu Kitchen Equipment Co., Ltd.",YDGF,主板,SSE,20170911,周俊杰,民营企业
603288,202602,3.182209740502115,603288.SH,海天味业,广东,食品,佛山市海天调味食品股份有限公司,Foshan Haitian Flavouring and Food Company Ltd.,HTWY,主板,SSE,20140211,庞康,民营企业
000553,202602,3.182209740502115,000553.SZ,安道麦A,湖北,农药化肥,安道麦股份有限公司,ADAMA Ltd.,ADMA,主板,SZSE,19931203,国务院国有资产监督管理委员会,中央企业
600928,202602,3.182209740502115,600928.SH,西安银行,陕西,银行,西安银行股份有限公司,"Bank Of Xi'An Co.,Ltd.",XAYH,主板,SSE,20190301,西安市人民政府,地方国有企业
600648,202602,3.182209740502115,600648.SH,外高桥,上海,园区开发,上海外高桥集团股份有限公司,"Shanghai Waigaoqiao Free Trade Zone Group Co., Ltd.",WGQ,主板,SSE,19930504,上海市浦东新区国有资产监督管理委员会,地方国有企业
