股票代码,F-Score,momentum,group1,group2,股票名称,所属行业,仓位
600608,8.0,-0.6881280137927319,3,1,*ST沪科,商贸代理,10%
002607,8.0,-0.41201328101418655,3,1,中公教育,文教休闲,10%
000995,8.0,-0.35874030123231393,3,1,皇台酒业,白酒,10%
000632,8.0,-0.3473953339725151,3,1,三木集团,综合类,10%
002723,8.0,-0.28069414316702834,3,1,小崧股份,家用电器,10%
002259,8.0,-0.2621015348288076,3,1,升达林业,供气供热,10%
603955,8.0,-0.2543912780133253,3,1,大千生态,建筑工程,10%
605122,8.0,-0.2514527205493925,3,1,四方新材,水泥,10%
002277,8.0,-0.2415094339622642,3,1,友阿股份,百货,10%
605069,8.0,-0.23624288425047424,3,1,正和生态,环境保护,10%
002250,8.0,-0.21824029405008039,3,1,联化科技,化工原料,0
600828,8.0,-0.2172489082969432,3,1,茂业商业,百货,0
000669,8.0,-0.21561338289962828,3,1,ST金鸿,供气供热,0
002915,8.0,-0.21529324424647367,3,1,中欣氟材,化工原料,0
002476,8.0,-0.20343411720791338,3,1,宝莫股份,化工原料,0
002123,8.0,-0.20054017555705606,3,1,梦网科技,互联网,0
603259,8.0,-0.18934821967410986,3,1,药明康德,化学制药,0
002197,7.0,-0.5130540376442015,3,1,ST证通,IT设备,0
600630,7.0,-0.47105357784969426,3,1,龙头股份,服饰,0
603828,7.0,-0.41983122362869196,3,1,ST柯利达,装修装饰,0
603359,7.0,-0.3751824817518248,3,1,东珠生态,建筑工程,0
002596,7.0,-0.3573160873080031,3,1,海南瑞泽,水泥,0
603939,7.0,-0.3142814206281621,3,1,益丰药房,医药商业,0
002200,7.0,-0.30106761565836304,3,1,*ST交投,建筑工程,0
600590,7.0,-0.29640018700327253,3,1,泰豪科技,通信设备,0
601929,7.0,-0.2891246684350133,3,1,吉视传媒,影视音像,0
603883,7.0,-0.2837037037037037,3,1,老百姓,医药商业,0
002905,7.0,-0.26745283018867927,3,1,金逸影视,影视音像,0
002427,7.0,-0.2529002320185614,3,1,尤夫股份,化纤,0
002702,7.0,-0.2504283266704741,3,1,海欣食品,食品,0
000757,7.0,-0.2497425334706489,3,1,浩物股份,汽车服务,0
600467,7.0,-0.2482587064676618,3,1,好当家,渔业,0
603518,7.0,-0.24447421299397187,3,1,锦泓集团,服饰,0
600771,7.0,-0.22163408626382264,3,1,广誉远,中成药,0
605567,7.0,-0.2139303482587065,3,1,春雪食品,食品,0
002695,7.0,-0.2124661246612466,3,1,煌上煌,食品,0
000009,7.0,-0.2116933573391453,3,1,中国宝安,电气设备,0
600599,7.0,-0.20657958393807463,3,1,*ST熊猫,化工原料,0
002551,7.0,-0.19183386131643787,3,1,尚荣医疗,医疗保健,0
000698,7.0,-0.1901565995525727,3,1,ST沈化,石油加工,0
001202,7.0,-0.18884408602150538,3,1,炬申股份,仓储物流,0
002418,7.0,-0.1865079365079365,3,1,康盛股份,家用电器,0
603517,7.0,-0.18073796122576613,3,1,ST绝味,食品,0
002316,7.0,-0.1793921423276501,3,1,亚联发展,软件服务,0
603906,7.0,-0.17760416666666667,3,1,龙蟠科技,电气设备,0
002686,7.0,-0.17590745911447947,3,1,亿利达,专用机械,0
002084,7.0,-0.17309417040358743,3,1,海鸥住工,家居用品,0
000566,7.0,-0.17135382603008498,3,1,海南海药,化学制药,0
600603,7.0,-0.1700508519303049,3,1,广汇物流,区域地产,0
000609,6.0,-0.6819026384243776,3,1,ST中迪,区域地产,0
002528,6.0,-0.6666666666666666,3,1,ST英飞拓,IT设备,0
002141,6.0,-0.5106826472120896,3,1,贤丰控股,农业综合,0
000608,6.0,-0.46321288637353064,3,1,*ST阳光,区域地产,0
600800,6.0,-0.44563918757467147,3,1,渤海化学,化工原料,0
605266,6.0,-0.40503945480631276,3,1,健之佳,医药商业,0
603023,6.0,-0.39919354838709675,3,1,威帝股份,汽车配件,0
002374,6.0,-0.38606676342525403,3,1,中锐股份,广告包装,0
002650,6.0,-0.3844500179147259,3,1,ST加加,食品,0
600172,6.0,-0.3689931350114417,3,1,黄河旋风,矿物制品,0
002495,6.0,-0.3628428927680798,3,1,佳隆股份,食品,0
002729,6.0,-0.3603377453217709,3,1,好利科技,元器件,0
600975,6.0,-0.3596220989936332,3,1,新五丰,农业综合,0
002052,6.0,-0.34736138944555783,3,1,同洲电子,家用电器,0
600770,6.0,-0.3406388039415562,3,1,综艺股份,综合类,0
