股票代码,F-Score,momentum,group1,group2,股票名称,所属行业,仓位
601918,9.0,-0.1859375000000001,3,1,新集能源,煤炭开采,10%
600795,9.0,-0.15846791961893836,3,1,国电电力,火力发电,10%
600547,9.0,-0.12775470370622555,3,1,山东黄金,黄金,10%
600312,9.0,-0.12123700054734543,3,1,平高电气,电气设备,10%
000543,9.0,-0.11929940515532067,3,1,皖能电力,火力发电,10%
605116,9.0,-0.09917355371900816,3,1,奥锐特,化学制药,10%
605296,9.0,-0.09146503589470878,3,1,神农集团,农业综合,10%
601088,9.0,-0.08295380611580994,3,1,中国神华,煤炭开采,10%
601857,9.0,-0.06528417818740395,3,1,中国石油,石油开采,10%
600886,9.0,-0.06423990806983726,3,1,国投电力,水力发电,10%
002100,9.0,-0.04615384615384621,3,1,天康生物,饲料,0
002004,9.0,-0.04001638896476367,3,1,华邦健康,农药化肥,0
000537,9.0,-0.025976488433826384,3,1,中绿电,新型电力,0
000598,9.0,-0.01649633179254495,3,1,兴蓉环境,水务,0
600236,9.0,-0.01402439024390223,3,1,桂冠电力,水力发电,0
002294,9.0,-0.011524030730748591,3,1,信立泰,化学制药,0
600759,9.0,-0.008620689655172376,3,1,洲际油气,石油开采,0
600420,9.0,-0.0016979987871437174,3,1,国药现代,化学制药,0
600995,9.0,0.006128830519074313,3,1,南网储能,水力发电,0
002548,9.0,0.006683804627249268,3,1,金新农,饲料,0
601816,9.0,0.007029876977152849,3,1,京沪高铁,铁路,0
600780,9.0,0.007788161993769416,3,1,通宝能源,火力发电,0
000550,9.0,0.008171378091872628,3,1,江铃汽车,汽车整车,0
601107,9.0,0.012558869701726927,3,1,四川成渝,路桥,0
600027,9.0,0.015209125475285079,3,1,华电国际,火力发电,0
000927,9.0,0.022435897435897356,3,1,中国铁物,仓储物流,0
600029,9.0,0.024109014675052443,3,1,南方航空,空运,0
000539,9.0,0.02560672654309193,3,1,粤电力A,火力发电,0
600098,9.0,0.026907482491706602,3,1,广州发展,火力发电,0
600219,9.0,0.031575037147102414,3,1,南山铝业,铝,0
600535,9.0,0.03900486579814766,3,1,天士力,中成药,0
600598,9.0,0.040534521158129166,3,1,北大荒,种植业,0
601188,9.0,0.04603580562659837,3,1,龙江交通,路桥,0
603718,9.0,0.046599496221662484,3,1,海利生物,农业综合,0
002003,9.0,0.049233194782857925,3,1,伟星股份,服饰,0
002192,9.0,0.04938271604938271,3,1,融捷股份,小金属,0
000899,9.0,0.05084745762711873,3,1,赣能股份,火力发电,0
000625,9.0,0.057420031463030874,3,1,长安汽车,汽车整车,0
000993,9.0,0.05862068965517242,3,1,闽东电力,水力发电,0
000978,9.0,0.05939226519337004,3,1,桂林旅游,旅游景点,0
002539,9.0,0.06054054054054059,3,1,云图控股,农药化肥,0
000791,9.0,0.061907770056853995,3,1,甘肃能源,水力发电,0
601518,9.0,0.062189054726368154,3,1,吉林高速,路桥,0
601007,9.0,0.06301652892561971,3,1,金陵饭店,酒店餐饮,0
000966,9.0,0.06480721903199349,3,1,长源电力,火力发电,0
600585,9.0,0.06523557290214654,3,1,海螺水泥,水泥,0
605183,9.0,0.06786315199102644,3,1,确成股份,化工原料,0
603725,9.0,0.0679062247372677,3,1,天安新材,塑料,0
600611,8.0,-0.24861093896630482,3,1,大众交通,公共交通,0
600025,8.0,-0.19328419328419333,3,1,华能水电,水力发电,0
000403,8.0,-0.18856185690356553,3,1,派林生物,生物制药,0
600026,8.0,-0.1787709497206703,3,1,中远海能,水运,0
601001,8.0,-0.16318234610917537,3,1,晋控煤业,煤炭开采,0
001376,8.0,-0.16075949367088616,3,1,百通能源,供气供热,0
601567,8.0,-0.14993375533637576,3,1,三星医疗,电气设备,0
601000,8.0,-0.1343726800296956,3,1,唐山港,港口,0
603027,8.0,-0.1342240745280706,3,1,千禾味业,食品,0
000062,8.0,-0.12260231088849671,3,1,深圳华强,元器件,0
600575,8.0,-0.12002553734837196,3,1,淮河能源,火力发电,0
600968,8.0,-0.11231101511879038,3,1,海油发展,石油开采,0
600674,8.0,-0.10949750065772168,3,1,川投能源,水力发电,0
600521,8.0,-0.10168427659797041,3,1,华海药业,化学制药,0
601156,8.0,-0.08898055391867987,3,1,东航物流,仓储物流,0
002603,8.0,-0.08691631992602866,3,1,以岭药业,中成药,0
600938,8.0,-0.08630680085391884,3,1,中国海油,石油开采,0
600062,8.0,-0.08599336057201223,3,1,华润双鹤,化学制药,0
002408,8.0,-0.07864476386036967,3,1,齐翔腾达,化工原料,0
600905,8.0,-0.07740585774058584,3,1,三峡能源,新型电力,0
600028,8.0,-0.07540983606557383,3,1,中国石化,石油加工,0
600348,8.0,-0.07527975584944047,3,1,华阳股份,煤炭开采,0
002322,8.0,-0.06631196470282896,3,1,理工能科,软件服务,0
600546,8.0,-0.06307977736549164,3,1,山煤国际,煤炭开采,0
600461,8.0,-0.058045977011494165,3,1,洪城环境,水务,0
601666,8.0,-0.05324298160696994,3,1,平煤股份,煤炭开采,0
600971,8.0,-0.05234678273144344,3,1,恒源煤电,煤炭开采,0
600985,8.0,-0.047242262043286076,3,1,淮北矿业,煤炭开采,0
601333,8.0,-0.04719101123595504,3,1,广深铁路,铁路,0
600309,8.0,-0.04143876471515062,3,1,万华化学,化工原料,0
600089,8.0,-0.040570163598077746,3,1,特变电工,电气设备,0
601899,8.0,-0.03612662942271894,3,1,紫金矿业,铜,0
603896,8.0,-0.034308779011099855,3,1,寿仙谷,中成药,0
603477,8.0,-0.03338806787082649,3,1,巨星农牧,农业综合,0
603806,8.0,-0.0319790828640385,3,1,福斯特,塑料,0
603566,8.0,-0.029742233972240628,3,1,普莱柯,农业综合,0
002317,8.0,-0.0227143206057151,3,1,众生药业,中成药,0
600011,8.0,-0.018973695558430426,3,1,华能国际,火力发电,0
600116,8.0,-0.01220635651773383,3,1,三峡水利,水力发电,0
000766,8.0,-0.009650582362728755,3,1,通化金马,化学制药,0
600482,8.0,-0.006955009780482468,3,1,中国动力,船舶,0
601866,8.0,-0.00694444444444442,3,1,中远海发,水运,0
000883,8.0,-0.006134969325153228,3,1,湖北能源,水力发电,0
