股票代码,date,prediction,TS代码,股票名称,地域,所属行业,股票全称,英文全称,拼音缩写,市场类型,交易所代码,上市日期,实控人名称,实控人企业性质
600265,202601,4.204755632242644,600265.SH,ST景谷,云南,林业,云南景谷林业股份有限公司,"Yunnan Jinggu Forestry Co.,Ltd",stjg,主板,SSE,20000825,云南省人民政府国有资产监督管理委员会,地方国企
002211,202601,4.058743396899933,002211.SZ,ST宏达,上海,橡胶,上海宏达新材料股份有限公司,"Shanghai Hongda New Material Co., Ltd.",sthd,主板,SZSE,20080201,朱德洪,民营企业
603813,202601,4.03608037092609,603813.SH,*ST原尚,广东,公路,广东原尚物流股份有限公司,"Guangdong Gensho Logistics Co.,Ltd.",stys,主板,SSE,20170918,余军,民营企业
600421,202601,3.955160062044196,600421.SH,*ST华嵘,湖北,专用机械,湖北华嵘控股股份有限公司,"Hubei Huarong Holding Co.,Ltd.",sthr,主板,SSE,20040607,徐进,民营企业
002072,202601,3.9445055535790727,002072.SZ,凯瑞德,湖北,商贸代理,凯瑞德控股股份有限公司,"Kairuide Holding Co.,Ltd",krd,主板,SZSE,20061018,德州市国有资产管理办公室,地方国企
603580,202601,3.9246410332238346,603580.SH,*ST艾艾,上海,塑料,艾艾精密工业输送系统(上海)股份有限公司,"AA Industrial Belting (Shanghai) Co., Ltd",staa,主板,SSE,20170525,涂木林,外资企业
600599,202601,3.9167491608733886,600599.SH,*ST熊猫,湖南,化工原料,熊猫金控股份有限公司,"Panda Financial Holding Corp., Ltd.",stxm,主板,SSE,20010828,赵伟平,民营企业
603789,202601,3.904483734112896,603789.SH,*ST星农,浙江,农用机械,星光农机股份有限公司,"Thinker Agricultural Machinery Co., Ltd.",stxn,主板,SSE,20150427,章沈强,民营企业
600136,202601,3.9008675603535545,600136.SH,ST明诚,湖北,房产服务,武汉明诚文化体育集团股份有限公司,"Wuhan Mc Culture & Sports Co.,Ltd.",stmc,主板,SSE,19980303,艾路明,民营企业
605118,202601,3.872331560750552,605118.SH,力鼎光电,福建,元器件,厦门力鼎光电股份有限公司,"Xiamen Leading Optics Co., Ltd.",ldgd,主板,SSE,20200730,吴富宝,民营企业
603655,202601,3.8609817810126703,603655.SH,朗博科技,江苏,汽车配件,常州朗博密封科技股份有限公司,"Changzhou Langbo Sealing Technologies Co.,Ltd.",lbkj,主板,SSE,20171229,戚建国,民营企业
002569,202601,3.8368857025649383,002569.SZ,*ST步森,浙江,服饰,浙江步森服饰股份有限公司,"Zhejiang Busen Garments Co.,Ltd.",stbs,主板,SZSE,20110412,王建军,民营企业
000911,202601,3.8284242174108254,000911.SZ,广农糖业,广西,食品,广西农投糖业集团股份有限公司,"Guangxi Rural Investment Sugar Industry Group Co., Ltd",gnty,主板,SZSE,19990527,广西壮族自治区南宁市人民政府国有资产监督管理委员会,地方国企
000820,202601,3.824003529348729,000820.SZ,*ST节能,江西,综合类,神雾节能股份有限公司,"Shenwu Energy Saving Co., Ltd",stjn,主板,SZSE,19980630,徐国瑞,民营企业
603103,202601,3.8220928455186014,603103.SH,横店影视,浙江,影视音像,横店影视股份有限公司,"Hengdian Entertainment Co., Ltd",hdys,主板,SSE,20171012,横店社团经济企业联合会,集体企业
600753,202601,3.812383781318073,600753.SH,*ST海钦,福建,商贸代理,福建海钦能源集团股份有限公司,"Fujian Haiqin Energy Group Co.,Ltd",sthq,主板,SSE,19960927,李大明,民营企业
603557,202601,3.755874627175914,603557.SH,ST起步,浙江,服饰,起步股份有限公司,Qibu Corporation Limited,stqb,主板,SSE,20170818,章利民,外资企业
603721,202601,3.749087038224355,603721.SH,*ST天择,湖南,影视音像,中广天择传媒股份有限公司,"TVZone Media Co., Ltd.",sttz,主板,SSE,20170811,长沙广播电视集团(长沙电视台、长沙人民广播电台),地方国企
603825,202601,3.7472592535549127,603825.SH,ST华扬,湖南,互联网,华扬联众数字技术股份有限公司,"Hylink Digital Solutions Co., Ltd",sthy,主板,SSE,20170802,苏同,民营企业
002058,202601,3.735261334389444,002058.SZ,*ST威尔,上海,电器仪表,上海威尔泰工业自动化股份有限公司,"Shanghai Welltech Automation Co.,Ltd.",stwe,主板,SZSE,20060802,沈雯,民营企业
002529,202601,3.733066718223303,002529.SZ,*ST海源,江西,专用机械,江西海源复合材料科技股份有限公司,"Jiangxi Haiyuan Composites Technology Co.,Ltd",sthy,主板,SZSE,20101224,李良光,民营企业
603895,202601,3.7078996850157937,603895.SH,天永智能,上海,专用机械,上海天永智能装备股份有限公司,"Shanghai Tianyong Engineering Co.,Ltd.",tyzn,主板,SSE,20180122,荣俊林,民营企业
600539,202601,3.7007995241123233,600539.SH,狮头股份,山西,互联网,狮头科技发展股份有限公司,"Lionhead Technology Development Co.,Ltd.",stgf,主板,SSE,20010824,太原市人民政府国有资产监督管理委员会,地方国企
603335,202601,3.696873682646937,603335.SH,迪生力,广东,汽车配件,广东迪生力汽配股份有限公司,Guangdong Dcenti Auto-Parts Stock Limited Company,dsl,主板,SSE,20170620,赵瑞贞,民营企业
002855,202601,3.692023042058655,002855.SZ,捷荣技术,广东,元器件,东莞捷荣技术股份有限公司,"Dongguan Chitwing Technology Co.,Ltd.",jrjs,主板,SZSE,20170321,赵晓群,外资企业
600476,202601,3.691761229766066,600476.SH,湘邮科技,湖南,软件服务,湖南湘邮科技股份有限公司,"Hunan Copote Science Technology Co.,Ltd",xykj,主板,SSE,20031210,中华人民共和国财政部,中央国企
603908,202601,3.681798466210461,603908.SH,牧高笛,浙江,纺织,牧高笛户外用品股份有限公司,"Comefly Outdoor Co.,Ltd",mgd,主板,SSE,20170307,陆暾华,民营企业
001238,202601,3.68099980711402,001238.SZ,浙江正特,浙江,家居用品,浙江正特股份有限公司,"Zhejiang Zhengte Co.,Ltd.",zjzt,主板,SZSE,20220919,陈永辉,民营企业
605298,202601,3.674556063997477,605298.SH,必得科技,江苏,运输设备,江苏必得科技股份有限公司,"Jiangsu Bide Science and Technology Co., Ltd.",bdkj,主板,SSE,20210301,王坚群,民营企业
002848,202601,3.6727903161147055,002848.SZ,*ST高斯,湖南,家用电器,高斯贝尔数码科技股份有限公司,"Gospell Digital Technology Co., Ltd.",stgs,主板,SZSE,20170213,刘潭爱,民营企业
605188,202601,3.672259630978937,605188.SH,国光连锁,江西,超市连锁,江西国光商业连锁股份有限公司,"Jiangxi Guoguang Commercial Chains Co., Ltd.",ggls,主板,SSE,20200728,胡金根,民营企业
002898,202601,3.6721436840501616,002898.SZ,*ST赛隆,广东,化学制药,赛隆药业集团股份有限公司,"Sailong Pharmaceutical Group Co.,Ltd.",stsl,主板,SZSE,20170912,蔡南桂,民营企业
002808,202601,3.668381803728456,002808.SZ,*ST恒久,江苏,元器件,苏州恒久光电科技股份有限公司,Suzhou Goldengreen Technologies Ltd.,sthj,主板,SZSE,20160812,余荣清,民营企业
600365,202601,3.6600276945560863,600365.SH,ST通葡,吉林,互联网,通化葡萄酒股份有限公司,"Tonghua Grape Wine Co.,Ltd",sttp,主板,SSE,20010115,傅军,民营企业
603838,202601,3.658447731113632,603838.SH,*ST四通,广东,家居用品,广东四通集团股份有限公司,"Guang Dong Sitong Group Co., Ltd.",stst,主板,SSE,20150701,蔡镇城,民营企业
002199,202601,3.655536166570719,002199.SZ,*ST东晶,浙江,元器件,浙江东晶电子股份有限公司,"Zhejiang East Crystal Electronic Co.,Ltd",stdj,主板,SZSE,20071221,李庆跃,民营企业
001269,202601,3.6545036352272895,001269.SZ,欧晶科技,内蒙,矿物制品,内蒙古欧晶科技股份有限公司,"Inner Mongolia Ojing Science & Technology Co., Ltd.",ojkj,主板,SZSE,20220930,无实际控制人,无
002816,202601,3.6465265724760334,002816.SZ,*ST和科,深圳,专用机械,深圳市和科达精密清洗设备股份有限公司,"Shenzhen Hekeda Precision Cleaning Equipment Co.,Ltd.",sthk,主板,SZSE,20161025,覃有倘,民营企业
603389,202601,3.6424494715135456,603389.SH,*ST亚振,江苏,家居用品,亚振家居股份有限公司,"A-Zenith Home Furnishings Co.,Ltd",styz,主板,SSE,20161215,高伟,民营企业
600119,202601,3.642132060733236,600119.SH,长江投资,上海,仓储物流,长发集团长江投资实业股份有限公司,"Y.U.D.Yangtze River Investment Industry Co.,Ltd.",cjtz,主板,SSE,19980115,上海国有资产经营有限公司,地方国企
605099,202601,3.635056458950024,605099.SH,共创草坪,江苏,文教休闲,江苏共创人造草坪股份有限公司,"Cocreation Grass Co., Ltd",gccp,主板,SSE,20200930,王强翔,民营企业
603132,202601,3.628544709172754,603132.SH,金徽股份,甘肃,铅锌,金徽矿业股份有限公司,Jinhui Mining Incorporation Limited,jhgf,主板,SSE,20220222,李明,民营企业
603196,202601,3.627566766678759,603196.SH,日播时尚,上海,服饰,日播时尚集团股份有限公司,"Ribo Fashion Group Co., Ltd.",rbss,主板,SSE,20170531,王卫东,民营企业
603868,202601,3.6200032437606056,603868.SH,飞科电器,上海,家用电器,上海飞科电器股份有限公司,"Shanghai Flyco Electrical Appliance Co., Ltd",fkdq,主板,SSE,20160418,李丐腾,民营企业
601068,202601,3.6180334095337674,601068.SH,中铝国际,北京,建筑工程,中铝国际工程股份有限公司,China Aluminum International Engineering Corporation Limited,zlgj,主板,SSE,20180831,国务院国有资产监督管理委员会,中央国企
002633,202601,3.613618630654832,002633.SZ,申科股份,浙江,机械基件,申科滑动轴承股份有限公司,Shenke Slide Bearing Corporation,skgf,主板,SZSE,20111122,何全波,民营企业
603880,202601,3.609308400704903,603880.SH,南卫股份,江苏,医疗保健,江苏南方卫材医药股份有限公司,"Jiangsu Nanfang Medical Co., Ltd.",nwgf,主板,SSE,20170807,李平,民营企业
600696,202601,3.609027416578448,600696.SH,*ST岩石,上海,白酒,上海贵酒股份有限公司,"Shanghai Guijiu Co., Ltd",stys,主板,SSE,19931206,陈隆基,外资企业
603219,202601,3.601245335969013,603219.SH,富佳股份,浙江,家用电器,宁波富佳实业股份有限公司,"Ningbo Fujia Industrial Co., Ltd.",fjgf,主板,SSE,20211122,王跃旦,民营企业
002485,202601,3.6003077256420597,002485.SZ,ST雪发,山东,商贸代理,雪松发展股份有限公司,"Cedar Development Co.,Ltd.",stxf,主板,SZSE,20101015,王桂波,民营企业
605318,202601,3.5921863674875967,605318.SH,法狮龙,浙江,其他建材,法狮龙家居建材股份有限公司,Fsilon Furnishing and Construction Materials Corporation,fsl,主板,SSE,20200803,沈正华,民营企业
600671,202601,3.590533129359412,600671.SH,天目药业,浙江,中成药,杭州天目山药业股份有限公司,"Hangzhou Tianmushan Pharmaceutical Enterprise Co.,Ltd",tmyy,主板,SSE,19930823,章鹏飞,民营企业
600689,202601,3.5875957461267687,600689.SH,上海三毛,上海,综合类,上海三毛企业(集团)股份有限公司,"Shanghai Sanmao Enterprise(Group) Co., Ltd.",shsm,主板,SSE,19931108,重庆市国有资产监督管理委员会,地方国企
605198,202601,3.58743750324321,605198.SH,安德利,山东,软饮料,烟台北方安德利果汁股份有限公司,"Yantai North Andre Juice Co., Ltd.",adl,主板,SSE,20200918,王安,民营企业
600319,202601,3.5786007217461453,600319.SH,亚星化学,山东,化工原料,潍坊亚星化学股份有限公司,"Weifang Yaxing Chemical Co.,Ltd.",yxhx,主板,SSE,20010326,潍坊市国有资产监督管理委员会,地方国企
603159,202601,3.569126613760261,603159.SH,上海亚虹,上海,专用机械,上海亚虹模具股份有限公司,"Shanghai Yahong Moulding Co.,Ltd",shyh,主板,SSE,20160812,谢亚明,民营企业
600847,202601,3.5681453127671974,600847.SH,万里股份,重庆,电气设备,重庆万里新能源股份有限公司,"Chongqing Wanli New Energy Co., Ltd.",wlgf,主板,SSE,19940324,刘悉承,民营企业
600148,202601,3.5642353015675923,600148.SH,长春一东,吉林,汽车配件,长春一东离合器股份有限公司,"Changchun Yidong Clutch Co.,Ltd",ccyd,主板,SSE,19980520,国务院国有资产监督管理委员会,中央国企
603755,202601,3.54973221537818,603755.SH,日辰股份,山东,食品,青岛日辰食品股份有限公司,"Qingdao Richen Food Co.,Ltd.",rcgf,主板,SSE,20190828,张华君,民营企业
002905,202601,3.5493438727340285,002905.SZ,金逸影视,广东,影视音像,广州金逸影视传媒股份有限公司,Guangzhou Jinyi Media Corporation,jyys,主板,SZSE,20171016,李玉珍,民营企业
603949,202601,3.549322233755181,603949.SH,雪龙集团,浙江,汽车配件,雪龙集团股份有限公司,"Xuelong Group Co., Ltd",xljt,主板,SSE,20200310,贺财霖,民营企业
605008,202601,3.5445940268514167,605008.SH,长鸿高科,浙江,橡胶,宁波长鸿高分子科技股份有限公司,Ningbo Changhong Polymer Scientific and Technical Inc.,chgk,主板,SSE,20200821,陶春风,民营企业
