date,income
201912,1.1052015
202001,1.0554524
202002,0.9995093
202003,0.9790232
202004,0.9703018
202005,0.8882802
202006,0.984032
202007,1.1317933
202008,1.2223462
202009,1.1724663
202010,1.1577955
202011,1.2311324
202012,1.1506054
202101,1.0067133
202102,1.1532143
202103,1.2702037
202104,1.3697071
202105,1.4149474
202106,1.5606323
202107,1.4482961
202108,1.5431954
202109,1.6229436
202110,1.7170595
202111,1.7672361
202112,1.875426
202201,1.6256275
202202,1.7025681
202203,1.569479
202204,1.304444
202205,1.5722362
202206,1.8022904
202207,1.9589531
202208,1.998932
202209,1.7315988
202210,1.8017291
202211,2.2892475
202212,2.2735101
202301,2.5549314
202302,2.5756417
202303,2.4092644
202304,2.2017937
202305,2.0490978
202306,2.2950675
202307,2.4702524
202308,2.3627416
202309,2.33314
202310,2.3574111
202311,2.3681612
202312,2.3946188
202401,1.8692141
202402,2.06464
202403,2.349008
202404,2.2160151
202405,2.2282359
202406,1.996745
202407,2.5670844
202408,2.6361392
202409,3.1885138
202410,3.9905992
202411,4.3793847
202412,4.2167522
202501,4.1543022
202502,4.5016323
202503,4.4066168
202504,3.9939519
202505,4.6402336
202506,4.8109886
202507,4.6622997
202508,5.0705326
202509,5.0333068
202510,5.0315582
202511,4.8975735
