date,income
201912,1.1464911
202001,1.1330065
202002,1.0597217
202003,1.0565854
202004,1.0218657
202005,1.0274214
202006,1.1198874
202007,1.4181052
202008,1.3135088
202009,1.3415935
202010,1.3418438
202011,1.4122918
202012,1.3461899
202101,1.2005696
202102,1.2888538
202103,1.3288696
202104,1.4070944
202105,1.5116015
202106,1.6465576
202107,1.51153
202108,1.5842656
202109,1.6321972
202110,1.7501328
202111,1.749851
202112,1.8348001
202201,1.6336527
202202,1.8052508
202203,1.8225713
202204,1.5557368
202205,1.9545244
202206,2.2811462
202207,2.3856605
202208,2.3297731
202209,2.0827543
202210,2.1755498
202211,2.5759687
202212,2.4482538
202301,2.6978545
202302,2.6134862
202303,2.4509361
202304,2.3803939
202305,2.15578
202306,2.2530531
202307,2.6064164
202308,2.5503989
202309,2.5250668
202310,2.4496504
202311,2.5144118
202312,2.3837502
202401,2.0555836
202402,2.2096873
202403,2.42365
202404,2.4861409
202405,2.4299524
202406,2.0232143
202407,2.1488989
202408,2.1606588
202409,2.6935085
202410,2.7769157
202411,2.8400536
202412,2.7807219
202501,2.6801042
202502,2.7851613
202503,2.9955453
202504,2.8523952
202505,3.0948272
202506,3.3628278
202507,3.3945969
202508,3.6992587
202509,3.9678861
202510,4.3016672
202511,4.2541236
202512,4.1996345
