date,income
201912,1.1464911
202001,1.1330065
202002,1.0594104
202003,1.0562367
202004,1.0215206
202005,1.0270655
202006,1.1195101
202007,1.4527226
202008,1.5124882
202009,1.3965597
202010,1.3968244
202011,1.470156
202012,1.4013341
202101,1.2497353
202102,1.3416124
202103,1.383272
202104,1.4355347
202105,1.5487382
202106,1.6869907
202107,1.5486673
202108,1.6231781
202109,1.6722993
202110,1.7931672
202111,1.7928685
202112,1.8799673
202201,1.6738797
202202,1.8497436
202203,1.8674308
202204,1.5606051
202205,1.9757419
202206,2.2993457
202207,2.4046899
202208,2.3484562
202209,2.0994384
202210,2.1929771
202211,2.5966063
202212,2.4678619
202301,2.7194535
202302,2.6343544
202303,2.4704829
202304,2.3701606
202305,2.1329103
202306,2.2291644
202307,2.5788045
202308,2.5233588
202309,2.498283
202310,2.4236414
202311,2.4877226
202312,2.3586628
202401,2.0337661
202402,2.1862133
202403,2.3978769
202404,2.4195956
202405,2.3724787
202406,1.9753646
202407,2.0980756
202408,2.1095597
202409,2.6294529
202410,2.7108656
202411,2.7725359
202412,2.7146108
202501,2.616365
202502,2.7188998
202503,2.9242916
202504,2.8479261
202505,3.0926537
202506,3.3604686
202507,3.3922163
202508,3.6966609
202509,3.9651094
202510,4.2986396
202511,4.2511277
