date,income
201912,1.0594819
202001,1.1871435
202002,1.2681544
202003,1.0746968
202004,1.0989365
202005,1.1022932
202006,1.166496
202007,1.2282086
202008,1.1996856
202009,1.0713265
202010,1.0828025
202011,1.1729372
202012,1.2016776
202101,1.3156168
202102,1.3896038
202103,1.2441612
202104,1.2849073
202105,1.5666644
202106,1.4471404
202107,1.4689329
202108,1.7213242
202109,1.633284
202110,1.3956433
202111,1.3789639
202112,1.3165132
202201,1.1521024
202202,1.2856515
202203,1.2629503
202204,0.8852749
202205,0.9796123
202206,0.9725868
202207,1.0252983
202208,1.0186325
202209,0.9242031
202210,0.895817
202211,0.8920788
202212,0.8451962
202301,0.8675067
202302,0.9123434
202303,0.8732005
202304,0.8553519
202305,0.8346561
202306,0.889791
202307,0.8523601
202308,0.8075071
202309,0.787748
202310,0.8126167
202311,0.8906828
202312,0.8631974
202401,0.7160886
202402,0.7991868
202403,0.8806098
202404,0.8820228
202405,0.8695852
202406,0.8678231
202407,0.8804806
202408,0.8328785
202409,0.9982791
202410,1.1144288
202411,1.1198906
202412,1.0402535
202501,1.1123837
202502,1.2303531
202503,1.2061838
202504,1.2311411
202505,1.2371782
202506,1.3072344
202507,1.4581631
202508,1.6128828
202509,1.5749297
202510,1.7052934
202511,1.8512026
