date,income
201912,1.0372602
202001,1.003332
202002,0.9250249
202003,0.9280205
202004,0.9302305
202005,0.9549473
202006,0.967934
202007,1.1029368
202008,1.1739096
202009,1.0861825
202010,1.0784182
202011,1.1604574
202012,1.1212778
202101,1.067104
202102,1.1178822
202103,1.2435526
202104,1.2490693
202105,1.2531419
202106,1.2961328
202107,1.2558129
202108,1.3824924
202109,1.4935531
202110,1.4769813
202111,1.4906679
202112,1.6504223
202201,1.5889384
202202,1.6591443
202203,1.5536132
202204,1.4868219
202205,1.6850532
202206,1.8341136
202207,1.9095509
202208,1.9364085
202209,1.7985158
202210,1.7737725
202211,2.0361888
202212,2.0219901
202301,2.1077754
202302,2.2377248
202303,2.1965262
202304,2.2600114
202305,2.3570983
202306,2.3932309
202307,2.5215211
202308,2.3433715
202309,2.3666089
202310,2.3516385
202311,2.2968648
202312,2.2526892
202401,2.1855403
202402,2.2871156
202403,2.5010845
202404,2.6301606
202405,2.4983143
202406,2.3949553
202407,2.4692261
202408,2.3889447
202409,2.8595076
202410,2.7393623
202411,2.8933589
202412,3.0288899
202501,2.8635152
202502,2.786753
202503,2.880628
202504,2.8468778
202505,2.9938344
202506,3.0199504
202507,3.1749944
202508,3.2742388
202509,3.2350158
202510,3.4019878
202511,3.3601371
202512,3.328555
