date,income
201912,1.0589008
202001,1.0224211
202002,0.9725197
202003,0.9740997
202004,1.0127317
202005,1.0615279
202006,1.0699454
202007,1.2236912
202008,1.2734353
202009,1.1802703
202010,1.1842466
202011,1.3146548
202012,1.2555553
202101,1.1705911
202102,1.2255181
202103,1.3487334
202104,1.3677129
202105,1.365043
202106,1.4186177
202107,1.3632649
202108,1.45577
202109,1.5645452
202110,1.5588048
202111,1.6186004
202112,1.7499783
202201,1.676951
202202,1.7716716
202203,1.6823579
202204,1.5886395
202205,1.7835236
202206,1.8881015
202207,1.9363964
202208,1.9468936
202209,1.8042127
202210,1.8240794
202211,2.0299452
202212,1.9780462
202301,2.100528
202302,2.1987199
202303,2.1631621
202304,2.3006813
202305,2.3513123
202306,2.3623453
202307,2.4931111
202308,2.3228666
202309,2.3421712
202310,2.2859006
202311,2.2660091
202312,2.2475533
202401,2.1743543
202402,2.3101579
202403,2.4432471
202404,2.5340686
202405,2.4858179
202406,2.3334812
202407,2.3936058
202408,2.3079355
202409,2.7699182
202410,2.687473
202411,2.8330246
202412,2.9041309
202501,2.775217
202502,2.7291282
202503,2.8557884
202504,2.7944924
202505,2.9351118
202506,2.9459337
202507,3.1690468
202508,3.3285359
202509,3.2994991
202510,3.441858
202511,3.3987038
202512,3.3706431
