date,income
202002,1.0537429
202003,1.0475378
202004,1.0439484
202005,1.1167367
202006,1.1228614
202007,1.1590137
202008,1.232436
202009,1.1732763
202010,1.1935495
202011,1.2673698
202012,1.2254193
202101,1.1264798
202102,1.1722239
202103,1.2759419
202104,1.2937944
202105,1.2891072
202106,1.2467141
202107,1.1654766
202108,1.2968457
202109,1.4246319
202110,1.421325
202111,1.4184152
202112,1.5337367
202201,1.461117
202202,1.4942241
202203,1.5071558
202204,1.43258
202205,1.5921089
202206,1.7589535
202207,1.6484189
202208,1.6293724
202209,1.5473939
202210,1.5286404
202211,1.7065381
202212,1.7073443
202301,1.769572
202302,1.9022155
202303,1.9753678
202304,1.9252023
202305,1.9590495000000003
202306,1.8209029000000003
202307,1.9451008000000003
202308,1.8681212000000005
202309,1.8540129000000003
202310,1.7970176000000004
202311,1.9073576000000003
202312,1.9180535000000003
202401,1.7469314000000005
202402,1.8327454000000003
202403,1.8603202000000003
202404,1.9364064000000003
202405,1.9118732000000003
202406,1.8201534000000004
202407,1.8846897000000005
202408,1.8396466000000005
202409,2.0936577000000005
202410,1.9644583000000004
202411,2.0720649000000004
202412,2.1692203000000005
202501,2.0558705
202502,1.9793379000000004
202503,2.0323974000000002
202504,2.0118121
202505,2.1125963000000003
202506,2.0695469
202507,2.2220343000000002
202508,2.4027715000000005
202509,2.3810773000000003
202510,2.4532270000000005
202511,2.4027271000000003
202512,2.3790666000000003
202601,2.4620673
202602,2.5583347000000005
