date,income
202002,1.0292146
202003,1.0262136
202004,1.0406442
202005,1.0418786
202006,1.0359038
202007,1.1538001
202008,1.1584638
202009,0.9978065
202010,0.9605048
202011,0.9575009
202012,1.0770938
202101,1.1619507
202102,1.1208766
202103,1.0421004
202104,1.0939655
202105,1.0894454
202106,1.0894454
202107,1.0894454
202108,1.1278847
202109,1.1652136
202110,1.1664197
202111,1.0374375
202112,1.0544075
202201,0.9104653
202202,0.9641184
202203,0.8291621
202204,0.663261
202205,0.6948247
202206,0.732287
202207,0.7505588
202208,0.7379098
202209,0.6952074
202210,0.6079874
202211,0.6728551
202212,0.6763822
202301,0.7069954
202302,0.7218967
202303,0.6638053
202304,0.6286988
202305,0.5475378
202306,0.5429485
202307,0.5129043
202308,0.4720332
202309,0.4531099
202310,0.4229056
202311,0.4209885
202312,0.4123046
202401,0.3352255
202402,0.3695024
202403,0.3694547
202404,0.376916
202405,0.3723971
202406,0.366518
202407,0.3491031
202408,0.34950889999999996
202409,0.4211808
202410,0.3878604
202411,0.3862216
202412,0.3737285
202501,0.3710807
202502,0.3807494
202503,0.3962266
202504,0.3823946
202505,0.3603568
202506,0.3370236
202507,0.3400403
202508,0.36463639999999997
202509,0.4244008
202510,0.4396832
202511,0.4438621
202512,0.4182379
202601,0.4358046
202602,0.4219218
