date,income
202002,1.2378354
202003,1.0310732
202004,1.1073645
202005,1.1584559
202006,1.1488829
202007,1.1841486
202008,1.1656031
202009,1.0661758
202010,1.0587838
202011,1.1061448
202012,1.1225826
202101,1.1282371
202102,1.1580816
202103,1.1686546
202104,1.3902021
202105,1.5081811
202106,1.6470803
202107,2.7025408
202108,3.2548528
202109,2.5135058
202110,2.4637538
202111,2.483053
202112,2.6091645
202201,2.5196871
202202,3.3817048
202203,3.0487527
202204,2.8047979
202205,3.2842717
202206,3.1774918000000003
202207,3.1068716000000003
202208,2.9108960000000006
202209,2.6526587
202210,2.7233566
202211,2.9423755
202212,2.931952
202301,3.0073988
202302,2.9963402
202303,2.7818638
202304,2.7810425
202305,2.4028784
202306,2.4047923
202307,2.5118771
202308,2.3247024
202309,2.4920504
202310,2.5926699
202311,2.6361957
202312,2.5359776
202401,1.8298063
202402,2.0415836
202403,2.3353464
202404,2.4742211
202405,2.5544437
202406,2.5039493
202407,2.4730972
202408,2.4905045
202409,3.4673433
202410,3.7389731
202411,3.7288804
202412,3.9190978
202501,3.9292354
202502,4.2738329
202503,3.7512113
202504,3.8011516
202505,3.9830645
202506,4.1327693
202507,4.3629754
202508,4.6142826
202509,4.5534254
202510,4.9173602
202511,4.6207907
202512,5.2850322
202601,5.9271682
202602,5.9496247
