date,income
202012,0.9529376
202101,0.935252
202102,0.992945
202103,1.0723193
202104,1.0812877
202105,1.0776149
202106,1.1055327
202107,1.0716442
202108,1.1765331
202109,1.172648
202110,1.1546613
202111,1.157924
202112,1.296786
202201,1.2526488
202202,1.2896319
202203,1.2687499
202204,1.1494213
202205,1.3626172
202206,1.5321699
202207,1.5876881
202208,1.6169724
202209,1.5607714
202210,1.5491548
202211,1.7525683
202212,1.7422121
202301,1.8929146
202302,2.066766
202303,1.9943189
202304,1.9241647
202305,2.0167962
202306,2.0518619
202307,2.1837753
202308,2.1240972
202309,2.1582167
202310,2.1228558
202311,2.2445108
202312,2.1971929
202401,1.8178271
202402,1.827221
202403,1.9745143
202404,2.0397954
202405,2.0361736
202406,1.9063648
202407,1.909906
202408,1.8500275
202409,2.1969876
202410,2.1350451
202411,2.1622287
202412,2.1382361
202501,2.0480715
202502,2.1137043
202503,1.9544049
202504,1.9967838
202505,2.3119441
202506,2.3393572
202507,2.2920007
202508,2.3781433
202509,2.292915
202510,2.4193924
202511,2.5187602
202512,2.6494465
