date,income
202012,0.9678477
202101,0.9190957
202102,0.9528494
202103,1.0226398
202104,1.0275567
202105,1.0111271
202106,1.0588401
202107,1.0194244
202108,1.0947824
202109,1.1838463
202110,1.1707105
202111,1.1815554
202112,1.3081681
202201,1.2721472
202202,1.285528
202203,1.2658929
202204,1.1255418
202205,1.214618
202206,1.2512462
202207,1.2445805
202208,1.4179495
202209,1.3407116
202210,1.5766609
202211,1.7052884
202212,1.699439
202301,1.7781315
202302,1.8590285
202303,1.8803742
202304,1.9354423
202305,1.9314435
202306,1.9583493
202307,2.149666
202308,2.0433641
202309,2.019249
202310,1.9616081
202311,1.9314081
202312,1.8948686
202401,1.8498365
202402,1.950657
202403,2.1358065
202404,2.2476595
202405,2.1802925
202406,2.0554899
202407,2.1006102
202408,1.9849491
202409,2.3741225
202410,2.2744114
202411,2.4022515
202412,2.4201343
202501,2.2931899
202502,2.2317321
202503,2.1074921
202504,2.1257732
202505,2.288614
202506,2.3116669
202507,2.3511141
202508,2.4535917
202509,2.585358
202510,2.6746422
202511,2.7928818
202512,2.6986939
