date,income
202012,0.9938644
202101,0.9644891
202102,0.9722696
202103,0.9964481
202104,1.0774358
202105,1.1040833
202106,1.1225788
202107,1.1011958
202108,1.1662279
202109,1.1515074
202110,1.1541666
202111,1.1401298
202112,1.2544484999999999
202201,1.2240109
202202,1.2383240999999998
202203,1.1564853999999998
202204,0.9602052999999998
202205,0.9873216999999999
202206,0.9958546999999998
202207,1.0163296999999998
202208,1.3552619999999997
202209,1.3379542999999998
202210,1.8476116
202211,2.1328428
202212,2.1486185
202301,2.2099751
202302,2.4065086
202303,2.3946634
202304,2.5327953
202305,2.5278466
202306,2.5752642
202307,2.8380256
202308,2.6964317
202309,2.7334966
202310,2.7099695
202311,2.642111
202312,2.5943851
202401,2.5240982
202402,2.6598749
202403,2.9237221
202404,3.1166127
202405,3.0514672
202406,3.1507241
202407,3.1741394
202408,3.1542989
202409,3.5696189
202410,3.538337
202411,3.7476967
202412,3.9000894
202501,3.688522
202502,3.5663535
202503,3.6754453
202504,3.6354164
202505,3.7741592
202506,3.8230028
202507,3.8366544
202508,4.0639923
202509,4.0109294
202510,4.2537718
202511,4.1675056
202512,4.0993184
