date,income
201612,1.0238903
201701,1.4780406
201702,1.9714791
201703,2.1518534
201704,2.2238391
201705,2.2526596
201706,2.2889121
201707,2.1631934
201708,2.4650239
201709,2.7899777
201710,3.3840529
201711,3.3207502
201712,3.2228457
201801,3.8155119
201802,3.6846442
201803,3.7058238
201804,4.1040769
201805,3.957703
201806,3.6256288
201807,3.7916628
201808,3.6686808
201809,3.8722258
201810,3.5867319
201811,3.8050861
201812,3.6708835
201901,3.7665529
201902,4.3849858
201903,5.3576787
201904,5.5618744
201905,5.1622031
201906,5.29517
201907,5.0989694
201908,5.0739037
201909,5.8782166
201910,5.9622398
201911,5.7841258
201912,6.079671
202001,5.7740816
202002,5.5058877
202003,5.4303644
202004,5.5500375
202005,5.6629198
202006,5.7655844
202007,6.5997718
202008,7.076334
202009,6.5578669
202010,6.5524886
202011,7.28063
202012,6.9531617
202101,6.4822941
202102,6.7870165
202103,7.4696255
202104,7.5747278
202105,7.4670683
202106,7.6976556
202107,7.4189752
202108,7.8817724
202109,8.4781342
202110,8.5474164
202111,8.8744573
202112,9.5952687
202201,9.2883954
202202,9.4806173
202203,9.1232427
202204,8.3316829
202205,9.069343
202206,9.5307007
202207,9.3095854
202208,10.021096
202209,9.3748459
202210,10.5405353
202211,11.5048759
202212,11.3089891
202301,11.716111
202302,12.2194998
202303,12.1547856
202304,12.499805
202305,12.3614497
202306,12.3842603
202307,13.5474345
202308,12.8117947
202309,12.6727934
202310,12.4603686
202311,12.3650263
202312,12.266621
202401,11.8666972
202402,12.6082102
202403,13.3347534
202404,13.830545
202405,13.7757029
202406,12.9635586
202407,13.2944764
202408,12.7723559
202409,15.3361482
202410,14.9655636
202411,15.7683843
202412,15.8359701
202501,15.1658088
202502,14.9138962
202503,14.2020212
202504,14.4334225
202505,15.3836909
202506,15.6347465
202507,15.563869
202508,16.2590874
202509,16.1102764
202510,16.2140605
202511,16.6305702
202512,16.6151588
202601,17.2161394
