date,income
202002,1.0350376
202003,1.1730143
202004,1.1593486
202005,1.169252
202006,1.1993233
202007,1.3095382
202008,1.7499914
202009,1.6746379
202010,3.0601807
202011,2.8966832
202012,2.7704493
202101,2.6479333
202102,2.7676579
202103,3.0819336
202104,2.9916691
202105,2.9769228
202106,2.8401556
202107,2.6473995
202108,2.9940063
202109,3.4084125
202110,3.4166465
202111,3.3980736
202112,3.6579825
202201,3.4361673
202202,3.59126
202203,3.1497874
202204,3.1816153
202205,3.3741059
202206,3.8452111
202207,3.9387548
202208,4.0370606
202209,3.8508665
202210,3.7840927
202211,4.4139263
202212,4.474179
202301,4.7105134
202302,5.1423206
202303,5.0870294
202304,5.3716111
202305,5.5108512
202306,5.5430866
202307,5.8757668
202308,5.639516
202309,5.7385454
202310,5.6926205
202311,5.3806627
202312,5.2677952
202401,5.0435349
202402,5.4291655
202403,5.7379327
202404,6.1255565
202405,5.834516
202406,5.8047105
202407,6.0355871
202408,5.8833612
202409,6.7632929
202410,6.3540348
202411,7.0215427
202412,7.4154135
202501,7.0874813
202502,6.7289677
202503,7.3281422
202504,7.3495205
202505,7.9760264
202506,8.4798355
202507,8.7027927
202508,8.9390841
202509,9.2761672
202510,9.4906791
202511,10.3378193
202512,10.008757
202601,10.2263033
