date,type,limit,target,price,count,completed,canceled
202002,buy,False,600121,2.01,995000,True,False
202002,buy,False,002748,6.28,318400,True,False
202002,buy,False,600983,3.01,664400,True,False
202002,buy,False,601798,5.7,350800,True,False
202002,buy,False,002692,3.28,609700,True,False
202003,sell,False,002692,3.58,609700,True,False
202003,sell,False,002748,6.24,318400,True,False
202003,sell,False,600121,2.03,995000,True,False
202003,sell,False,600983,3.17,664400,True,False
202003,sell,False,601798,5.83,350800,True,False
202003,buy,False,600121,2.03,1018900,True,False
202003,buy,False,603290,76.48,27000,True,False
202003,buy,False,000692,2.73,757600,True,False
202003,buy,False,002748,6.24,331400,True,False
202003,buy,False,600983,3.17,652400,True,False
202004,sell,False,000692,2.66,757600,True,False
202004,sell,False,002748,6.68,331400,True,False
202004,sell,False,600121,2.02,1018900,True,False
202004,sell,False,600983,4.53,652400,True,False
202004,sell,False,603290,76.98,27000,True,False
202004,buy,False,600121,2.02,1121300,True,False
202004,buy,False,601798,5.14,440600,True,False
202004,buy,False,600725,2.26,1002200,True,False
202004,buy,False,000692,2.66,851500,True,False
202004,buy,False,002692,3.61,627400,True,False
202005,sell,False,000692,2.55,851500,True,False
202005,sell,False,002692,3.52,627400,True,False
202005,sell,False,600121,1.85,1121300,True,False
202005,sell,False,600725,2.47,1002200,True,False
202005,sell,False,601798,6.0,440600,True,False
202005,buy,False,601857,2.42,956500,True,False
202005,buy,False,600162,1.39,1665300,True,False
202005,buy,False,002085,5.58,414800,True,False
202005,buy,False,603225,9.34,247800,True,False
202005,buy,False,000620,2.75,841700,True,False
202006,sell,False,000620,3.3,841700,True,False
202006,sell,False,002085,5.78,414800,True,False
202006,sell,False,600162,1.35,1665300,True,False
202006,sell,False,601857,2.24,956500,True,False
202006,sell,False,603225,8.85,247800,True,False
202006,buy,False,603225,8.85,265700,True,False
202006,buy,False,600162,1.35,1742100,True,False
202006,buy,False,601857,2.24,1049900,True,False
202006,buy,False,002085,5.78,406900,True,False
202006,buy,False,600482,15.09,155800,True,False
202007,sell,False,002085,5.73,406900,True,False
202007,sell,False,600162,1.46,1742100,True,False
202007,sell,False,600482,15.15,155800,True,False
202007,sell,False,601857,2.24,1049900,True,False
202007,sell,False,603225,9.16,265700,True,False
202007,buy,False,603861,7.64,314700,True,False
202007,buy,False,601857,2.24,1073400,True,False
202007,buy,False,603225,9.16,262500,True,False
202007,buy,False,000514,3.72,646300,True,False
202007,buy,False,600819,4.25,565700,True,False
202008,sell,False,000514,4.08,646300,True,False
202008,sell,False,600819,4.7,565700,True,False
202008,sell,False,601857,2.5,1073400,True,False
202008,sell,False,603225,9.85,262500,True,False
202008,sell,False,603861,8.23,314700,True,False
202008,buy,False,603225,9.85,267100,True,False
202008,buy,False,002841,99.73,26300,True,False
202008,buy,False,601857,2.5,1052400,True,False
202008,buy,False,601456,6.31,416900,True,False
202008,buy,False,600162,1.69,1556800,True,False
202009,sell,False,002841,95.53,26300,True,False
202009,sell,False,600162,1.7,1556800,True,False
202009,sell,False,601456,16.6,416900,True,False
202009,sell,False,601857,2.47,1052400,True,False
202009,sell,False,603225,10.36,267100,True,False
202009,buy,False,002996,10.95,318800,True,False
202009,buy,False,605123,66.49,52500,True,False
202009,buy,False,600661,16.46,212000,True,False
202009,buy,False,603861,8.54,408700,True,False
202009,buy,False,000803,7.37,473600,True,False
202010,sell,False,000803,7.59,473600,True,False
202010,sell,False,002996,9.6,318800,True,False
202010,sell,False,600661,15.13,212000,True,False
202010,sell,False,603861,8.02,408700,True,False
202010,sell,False,605123,70.84,52500,True,False
202010,buy,False,003009,26.89,125400,True,False
202010,buy,False,605111,9.13,369400,True,False
202010,buy,False,003011,36.98,91200,True,False
202010,buy,False,605218,20.43,165000,True,False
202010,buy,False,003010,11.24,300000,True,False
202011,sell,False,003009,64.82,125400,True,False
202011,sell,False,003010,14.67,300000,True,False
202011,sell,False,003011,36.63,91200,True,False
202011,sell,False,605111,31.22,369400,True,False
202011,sell,False,605218,15.07,165000,True,False
202011,buy,False,000803,7.53,793900,True,False
202011,buy,False,600860,3.71,1611400,True,False
202011,buy,False,600319,4.6,1299600,True,False
202011,buy,False,002575,4.59,1302400,True,False
202011,buy,False,600688,3.09,1934700,True,False
202012,sell,False,000803,7.09,793900,True,False
202012,sell,False,002575,3.49,1302400,True,False
202012,sell,False,600319,4.56,1299600,True,False
202012,sell,False,600688,3.33,1934700,True,False
202012,sell,False,600860,3.97,1611400,True,False
202012,buy,False,603098,9.29,623000,True,False
202012,buy,False,600860,3.97,1458000,True,False
202012,buy,False,000803,7.09,816400,True,False
202012,buy,False,600671,9.05,639500,True,False
202012,buy,False,002900,9.14,633200,True,False
202101,sell,False,000803,6.88,816400,True,False
202101,sell,False,002900,8.36,633200,True,False
202101,sell,False,600671,8.61,639500,True,False
202101,sell,False,600860,4.38,1458000,True,False
202101,sell,False,603098,8.01,623000,True,False
202101,buy,False,000803,6.88,808000,True,False
202101,buy,False,603098,8.01,694000,True,False
202101,buy,False,600423,2.48,2241500,True,False
202101,buy,False,002692,2.64,2105700,True,False
202101,buy,False,600167,10.1,550400,True,False
202102,sell,False,000803,7.49,808000,True,False
202102,sell,False,002692,2.59,2105700,True,False
202102,sell,False,600167,8.36,550400,True,False
202102,sell,False,600423,2.16,2241500,True,False
202102,sell,False,603098,8.01,694000,True,False
202102,buy,False,000539,3.35,1582500,True,False
202102,buy,False,601107,2.11,2512500,True,False
202102,buy,False,600269,2.52,2103700,True,False
202102,buy,False,600236,3.51,1510400,True,False
202102,buy,False,600377,6.7,791200,True,False
202103,sell,False,000539,3.51,1582500,True,False
202103,sell,False,600236,3.59,1510400,True,False
202103,sell,False,600269,2.63,2103700,True,False
202103,sell,False,600377,6.98,791200,True,False
202103,sell,False,601107,2.26,2512500,True,False
202103,buy,False,001872,11.87,466900,True,False
202103,buy,False,600642,3.74,1481900,True,False
202103,buy,False,600628,7.89,702400,True,False
202103,buy,False,002608,5.9,939300,True,False
202103,buy,False,601326,2.29,2420200,True,False
202104,sell,False,001872,12.52,466900,True,False
202104,sell,False,002608,6.71,939300,True,False
202104,sell,False,600628,8.22,702400,True,False
202104,sell,False,600642,4.59,1481900,True,False
202104,sell,False,601326,2.42,2420200,True,False
202104,buy,False,002395,11.69,523200,True,False
202104,buy,False,000553,9.65,633800,True,False
202104,buy,False,600033,2.05,2983600,True,False
